#,このファイルは毎木データのエラーチェックに使う各調査区のmesh_xcord/mesh_ycordの組み合わせのリストです。,
plotid,mesh_xcord,mesh_ycord
AO-BC1,80,40
AO-BC1,80,50
AO-BC1,80,60
AO-BC1,80,70
AO-BC1,80,80
AO-BC1,80,90
AO-BC1,90,0
AO-BC1,90,10
AO-BC1,90,20
AO-BC1,90,30
AO-BC1,90,40
AO-BC1,90,50
AO-BC1,90,60
AO-BC1,90,70
AO-BC1,90,80
AO-BC1,90,90
AS-DB1,0,0
AS-DB1,0,10
AS-DB1,0,20
AS-DB1,0,30
AS-DB1,0,40
AS-DB1,0,50
AS-DB1,0,60
AS-DB1,0,70
AS-DB1,0,80
AS-DB1,0,90
AS-DB1,10,0
AS-DB1,10,10
AS-DB1,10,20
AS-DB1,10,30
AS-DB1,10,40
AS-DB1,10,50
AS-DB1,10,60
AS-DB1,10,70
AS-DB1,10,80
AS-DB1,10,90
AS-DB1,20,0
AS-DB1,20,10
AS-DB1,20,20
AS-DB1,20,30
AS-DB1,20,40
AS-DB1,20,50
AS-DB1,20,60
AS-DB1,20,70
AS-DB1,20,80
AS-DB1,20,90
AS-DB1,30,0
AS-DB1,30,10
AS-DB1,30,20
AS-DB1,30,30
AS-DB1,30,40
AS-DB1,30,50
AS-DB1,30,60
AS-DB1,30,70
AS-DB1,30,80
AS-DB1,30,90
AS-DB1,40,0
AS-DB1,40,10
AS-DB1,40,20
AS-DB1,40,30
AS-DB1,40,40
AS-DB1,40,50
AS-DB1,40,60
AS-DB1,40,70
AS-DB1,40,80
AS-DB1,40,90
AS-DB1,50,0
AS-DB1,50,10
AS-DB1,50,20
AS-DB1,50,30
AS-DB1,50,40
AS-DB1,50,50
AS-DB1,50,60
AS-DB1,50,70
AS-DB1,50,80
AS-DB1,50,90
AS-DB1,60,0
AS-DB1,60,10
AS-DB1,60,20
AS-DB1,60,30
AS-DB1,60,40
AS-DB1,60,50
AS-DB1,60,60
AS-DB1,60,70
AS-DB1,60,80
AS-DB1,60,90
AS-DB1,70,0
AS-DB1,70,10
AS-DB1,70,20
AS-DB1,70,30
AS-DB1,70,40
AS-DB1,70,50
AS-DB1,70,60
AS-DB1,70,70
AS-DB1,70,80
AS-DB1,70,90
AS-DB1,80,0
AS-DB1,80,10
AS-DB1,80,20
AS-DB1,80,30
AS-DB1,80,40
AS-DB1,80,50
AS-DB1,80,60
AS-DB1,80,70
AS-DB1,80,80
AS-DB1,80,90
AS-DB1,90,0
AS-DB1,90,10
AS-DB1,90,20
AS-DB1,90,30
AS-DB1,90,40
AS-DB1,90,50
AS-DB1,90,60
AS-DB1,90,70
AS-DB1,90,80
AS-DB1,90,90
AS-DB2,0,0
AS-DB2,0,10
AS-DB2,0,20
AS-DB2,0,30
AS-DB2,0,40
AS-DB2,0,50
AS-DB2,0,60
AS-DB2,0,70
AS-DB2,0,80
AS-DB2,0,90
AS-DB2,10,0
AS-DB2,10,10
AS-DB2,10,20
AS-DB2,10,30
AS-DB2,10,40
AS-DB2,10,50
AS-DB2,10,60
AS-DB2,10,70
AS-DB2,10,80
AS-DB2,10,90
AS-DB2,20,0
AS-DB2,20,10
AS-DB2,20,20
AS-DB2,20,30
AS-DB2,20,40
AS-DB2,20,50
AS-DB2,20,60
AS-DB2,20,70
AS-DB2,20,80
AS-DB2,20,90
AS-DB2,30,0
AS-DB2,30,10
AS-DB2,30,20
AS-DB2,30,30
AS-DB2,30,40
AS-DB2,30,50
AS-DB2,30,60
AS-DB2,30,70
AS-DB2,30,80
AS-DB2,30,90
AS-DB2,40,0
AS-DB2,40,10
AS-DB2,40,20
AS-DB2,40,30
AS-DB2,40,40
AS-DB2,40,50
AS-DB2,40,60
AS-DB2,40,70
AS-DB2,40,80
AS-DB2,40,90
AS-DB2,50,0
AS-DB2,50,10
AS-DB2,50,20
AS-DB2,50,30
AS-DB2,50,40
AS-DB2,50,50
AS-DB2,50,60
AS-DB2,50,70
AS-DB2,50,80
AS-DB2,50,90
AS-DB2,60,0
AS-DB2,60,10
AS-DB2,60,20
AS-DB2,60,30
AS-DB2,60,40
AS-DB2,60,50
AS-DB2,60,60
AS-DB2,60,70
AS-DB2,60,80
AS-DB2,60,90
AS-DB2,70,0
AS-DB2,70,10
AS-DB2,70,20
AS-DB2,70,30
AS-DB2,70,40
AS-DB2,70,50
AS-DB2,70,60
AS-DB2,70,70
AS-DB2,70,80
AS-DB2,70,90
AS-DB2,80,0
AS-DB2,80,10
AS-DB2,80,20
AS-DB2,80,30
AS-DB2,80,40
AS-DB2,80,50
AS-DB2,80,60
AS-DB2,80,70
AS-DB2,80,80
AS-DB2,80,90
AS-DB2,90,0
AS-DB2,90,10
AS-DB2,90,20
AS-DB2,90,30
AS-DB2,90,40
AS-DB2,90,50
AS-DB2,90,60
AS-DB2,90,70
AS-DB2,90,80
AS-DB2,90,90
AS-DB3,0,0
AS-DB3,0,10
AS-DB3,0,20
AS-DB3,0,30
AS-DB3,0,40
AS-DB3,0,50
AS-DB3,10,0
AS-DB3,10,10
AS-DB3,10,20
AS-DB3,10,30
