name_jp,name_jp_std,name_greenlist,match_type,status,name_gbif_accepted,species,genus,family,order,species_jp,family_jp,order_jp,categ,categ2,categ3,categ4,categ5,categ6,fruit_type,remarks
オオシラビソ,,Abies mariesii Mast.,EXACT,accepted,Abies mariesii Mast.,Abies mariesii,Abies,Pinaceae,Pinales,オオシラビソ,マツ科,マツ目,1,1,1,1,1,2,球果,use gbif name
トドマツ,,Abies sachalinensis (F.Schmidt) Mast. var. sachalinensis,EXACT,accepted,Abies sachalinensis var. sachalinensis,Abies sachalinensis var. sachalinensis,Abies,Pinaceae,Pinales,トドマツ,マツ科,マツ目,1,1,1,1,1,2,球果,use gbif name
カラマツ,,Larix kaempferi (Lamb.) Carrière,EXACT,accepted,Larix kaempferi (Lamb.) Carrière,Larix kaempferi,Larix,Pinaceae,Pinales,カラマツ,マツ科,マツ目,1,1,1,1,1,2,球果,use gbif name
アカエゾマツ,,Picea glehnii (F.Schmidt) Mast.,EXACT,accepted,Picea glehnii Mast.,Picea glehnii,Picea,Pinaceae,Pinales,アカエゾマツ,マツ科,マツ目,1,1,1,1,1,2,球果,use gbif name
エゾマツ,,Picea jezoensis (Siebold et Zucc.) Carrière,EXACT,accepted,Picea jezoensis Carrière,Picea jezoensis,Picea,Pinaceae,Pinales,エゾマツ,マツ科,マツ目,1,1,1,1,1,2,球果,use gbif name
ハリモミ,,Picea polita (Siebold et Zucc.) Carrière,EXACT,synonym,Picea torano Koehne,Picea polita,Picea,Pinaceae,Pinales,ハリモミ,マツ科,マツ目,1,1,1,1,1,2,球果,not found in GreenList; found in YList; use greenlist name; checked  in WCSP
アカマツ,,Pinus densiflora Siebold et Zucc.,EXACT,accepted,Pinus densiflora Siebold & Zucc.,Pinus densiflora,Pinus,Pinaceae,Pinales,アカマツ,マツ科,マツ目,1,1,1,1,1,2,球果,use gbif name
キタゴヨウ,,Pinus parviflora Siebold et Zucc. var. pentaphylla (Mayr) A.Henry,EXACT,accepted,Pinus parviflora var. pentaphylla (Mayr) A.Henry,Pinus parviflora var. pentaphylla,Pinus,Pinaceae,Pinales,キタゴヨウ,マツ科,マツ目,1,1,1,1,1,2,球果,use gbif name
ツガ,,Tsuga sieboldii Carrière,EXACT,accepted,Tsuga sieboldii Carrière,Tsuga sieboldii,Tsuga,Pinaceae,Pinales,ツガ,マツ科,マツ目,3,1,1,3,1,2,球果,use gbif name
ナギ,,Nageia nagi (Thunb.) Kuntze,EXACT,accepted,Nageia nagi Kuntze,Nageia nagi,Nageia,Podocarpaceae,Pinales,ナギ,マキ科,マツ目,1,1,1,1,1,2,核果状,use gbif name
イヌマキ,,Podocarpus macrophyllus (Thunb.) Sweet,EXACT,accepted,Podocarpus macrophyllus Sweet,Podocarpus macrophyllus,Podocarpus,Podocarpaceae,Pinales,イヌマキ,マキ科,マツ目,1,1,1,1,1,2,核果状,use gbif name
カヤ,,Torreya nucifera (L.) Siebold et Zucc.,EXACT,accepted,Torreya nucifera Siebold & Zucc.,Torreya nucifera,Torreya,Taxaceae,Pinales,カヤ,イチイ科,マツ目,1,1,1,1,1,2,核果状,use gbif name
シシウド,,Angelica pubescens Maxim. var. pubescens,EXACT,accepted,Angelica pubescens var. pubescens,Angelica pubescens  var. pubescens,Angelica,Apiaceae,Apiales,シシウド,セリ科,セリ目,,,1,,6,3,,use gbif name
タラノキ,,Aralia elata (Miq.) Seem.,EXACT,accepted,Aralia elata (Miq.) Seem.,Aralia elata,Aralia,Araliaceae,Apiales,タラノキ,ウコギ科,セリ目,4,4,1,4,4,3,液果,use gbif name
コシアブラ,,Chengiopanax sciadophylloides (Franch. et Sav.) C.B.Shang et J.Y.Huang,EXACT,accepted,Chengiopanax sciadophylloides (Franch. & Sav.) C.B.Shang & J.Y.Huang,Chengiopanax sciadophylloides,Chengiopanax,Araliaceae,Apiales,コシアブラ,ウコギ科,セリ目,4,4,1,4,4,3,液果,use gbif name
カクレミノ,,Dendropanax trifidus (Thunb.) Makino ex H.Hara,EXACT,accepted,Dendropanax trifidus (Thunb.) Makino ex Hara,Dendropanax trifidus,Dendropanax,Araliaceae,Apiales,カクレミノ,ウコギ科,セリ目,4,4,1,5,5,3,液果,use gbif name
ケヤマウコギ,,Eleutherococcus divaricatus (Siebold et Zucc.) S.Y.Hu,EXACT,accepted,Eleutherococcus divaricatus (Siebold & Zucc.) S.Y.Hu,Eleutherococcus divaricatus,Eleutherococcus,Araliaceae,Apiales,ケヤマウコギ,ウコギ科,セリ目,,,1,,4,3,液果,use gbif name
ヤツデ,,Fatsia japonica (Thunb.) Decne. et Planch. var. japonica,EXACT,accepted,Fatsia japonica var. japonica,Fatsia japonica  var. japonica,Fatsia,Araliaceae,Apiales,ヤツデ,ウコギ科,セリ目,,,1,,5,3,液果,use gbif name
タカノツメ,,"Gamblea innovans (Siebold et Zucc.) C.B.Shang, Lowry et Frodin",EXACT,accepted,"Gamblea innovans (Siebold & Zucc.) C.B.Shang, Lowry & Frodin",Gamblea innovans,Gamblea,Araliaceae,Apiales,タカノツメ,ウコギ科,セリ目,4,4,1,4,4,3,液果,use gbif name
キヅタ,,Hedera rhombea (Miq.) Bean,EXACT,accepted,Hedera rhombea (Miq.) Paul,Hedera rhombea,Hedera,Araliaceae,Apiales,キヅタ,ウコギ科,セリ目,4,4,1,5,5,3,液果,use gbif name
ハリギリ,,Kalopanax septemlobus (Thunb.) Koidz. subsp. septemlobus,EXACT,accepted,Kalopanax septemlobus subsp. septemlobus,Kalopanax septemlobus subsp. septemlobus,Kalopanax,Araliaceae,Apiales,ハリギリ,ウコギ科,セリ目,4,4,1,4,4,3,液果,use gbif name
フカノキ,,Schefflera heptaphylla (L.) Frodin,EXACT,accepted,Schefflera heptaphylla (L.) Frodin,Schefflera heptaphylla,Schefflera,Araliaceae,Apiales,フカノキ,ウコギ科,セリ目,4,4,1,5,5,3,液果,use gbif name
ウコギ科,,Araliaceae sp.,HIGHERRANK,accepted,Araliaceae,Araliaceae sp.,,Araliaceae,Apiales,ウコギ科,ウコギ科,セリ目,,,,,,3,,not found in GreenList; not found in YList
トベラ,,Pittosporum tobira (Thunb.) W.T.Aiton,EXACT,accepted,Pittosporum tobira (Murray) Aiton fil.,Pittosporum tobira,Pittosporum,Pittosporaceae,Apiales,トベラ,トベラ科,セリ目,4,4,1,5,5,3,,use gbif name
シイモチ,,Ilex buergeri Miq.,EXACT,accepted,Ilex buergeri Miq.,Ilex buergeri,Ilex,Aquifoliaceae,Aquifoliales,シイモチ,モチノキ科,モチノキ目,4,4,1,5,5,3,核果,use gbif name
ナナミノキ,,Ilex chinensis Sims,EXACT,accepted,Ilex chinensis Sims,Ilex chinensis,Ilex,Aquifoliaceae,Aquifoliales,ナナミノキ,モチノキ科,モチノキ目,4,4,1,5,5,3,核果,use gbif name
ヤバネヒイラギモチ,,Ilex cornuta Lindl. et Paxton,EXACT,accepted,Ilex cornuta Lindl. & Paxton,Ilex cornuta,Ilex,Aquifoliaceae,Aquifoliales,ヤバネヒイラギモチ,モチノキ科,モチノキ目,,,1,,5,3,核果,not found in GreenList; found in YList; use gbif name
