#,Tree Species List for the Monitoring Site 1000 Project,,,,,,,,,,,,,,,,,,,
#,name_jp: Japanese name used in moni1000 sites,,,,,,,,,,,,,,,,,,,
#,name_jp_std: Japanese name according to GreenList/YList,,,,,,,,,,,,,,,,,,,
#,name_greenlist: scientific name according to GreenList/YList,,,,,,,,,,,,,,,,,,,
#,match_type: match type in GBIF search,,,,,,,,,,,,,,,,,,,
#,status: taxonomic status of the scientific name query in GBIF,,,,,,,,,,,,,,,,,,,
#,name_gbif_accepted: accepted name in GBIF,,,,,,,,,,,,,,,,,,,
#,"species: species name includes the ranks of subspecies, variety and forma",,,,,,,,,,,,,,,,,,,
#,genus: genus name,,,,,,,,,,,,,,,,,,,
#,family: family name,,,,,,,,,,,,,,,,,,,
#,order: order name,,,,,,,,,,,,,,,,,,,
#,species_jp: species name in Japanese (standard name),,,,,,,,,,,,,,,,,,,
#,family_jp: family name in Japanese,,,,,,,,,,,,,,,,,,,
#,order_jp: order name in Japanese,,,,,,,,,,,,,,,,,,,
#,"categ: 1, Conifer excluding Abies and Tsuga; 2, Abies; 3, Tsuga; 4, Broadleaf",,,,,,,,,,,,,,,,,,,
#,"categ2: 1, Conifer, 4: Broadleaf",,,,,,,,,,,,,,,,,,,
#,"categ3: 1, formal japanese species name; 0, synonym in japanese",,,,,,,,,,,,,,,,,,,
#,"categ4: 1, Conifer; 2, Abies; 3, Tsuga; 4, Deciduous broadleaf; 5, Evergreen broadleaf. (use for a tree biomass estimation with allometric equations)",,,,,,,,,,,,,,,,,,,
#,"categ5: 1, Conifer; 4, Deciduous broadleaf; 5, Evergreen broadleaf",,,,,,,,,,,,,,,,,,,
#,"categ6: 1, Sub-boreal conifer; 2, Temperate conifer; 4, Deciduous broadleaf; 5, Evergreen broadleaf",,,,,,,,,,,,,,,,,,,
#,"categ7: 1,  Pteridophyte; 2, Gymnosperm; 3, Angiosperm",,,,,,,,,,,,,,,,,,,
#,シダ植物は常緑広葉樹と同じカテゴリとする,,,,,,,,,,,,,,,,,,,
#,アカギは半常緑性だが常緑とする,,,,,,,,,,,,,,,,,,,
#,マルハチ（木性シダ）は常緑広葉樹とする,,,,,,,,,,,,,,,,,,,
#,20130209　アオツヅラフジ（佐田山）、リンゴツバキ、ヒメヒサカキ（屋久島スギ林）を新規に登録。（佐伯）,,,,,,,,,,,,,,,,,,,
#,20130709 カキバカンコノキ（与那サイト）を新規登録（日高）,,,,,,,,,,,,,,,,,,,
#,20170213 タニウツギ（カヌマ沢）、チョウセンゴヨウ（苫小牧アカエゾマツ）を新規登録（日野）,,,,,,,,,,,,,,,,,,,
#,20180203 ヒメモチ（大佐渡）オオツリバナ（足寄）、オニツルウメモドキ（足寄）アマクサギ（与那）を新規登録（日野）,,,,,,,,,,,,,,,,,,,
#,20180323 ショウロウクサギ（与那）を新規登録（日野）,,,,,,,,,,,,,,,,,,,
#,20180420 ミツバアケビ（筑波山）を新規登録（日野）,,,,,,,,,,,,,,,,,,,
#,20180611 ヘゴ、オガサワラアオグス、パパイヤ（小笠原石門）を新規登録（日野）,,,,,,,,,,,,,,,,,,,
#,20190913 最新のAPG・PPGで分類が変更になった種も多いため大幅改訂（甲山）,,,,,,,,,,,,,,,,,,,
#,GreenListで和名から学名を検索（GreenListにない和名はYList／旧リストで検索・照合） >>> GreenListの学名をGBIFで検索し、synonymとなっている種についてはWCSPなど他データベースで都度確認,,,,,,,,,,,,,,,,,,,
#,列名を適宜変更し、旧リストの必要のない列は削除: sp_roman; old_sp; sp_ylist; sp_satake_print; sp_satake; subsp; sp; spjp; order1; order2; order3; familyAPGjpn; familyAPGcode; genusKew; familyAPG; familyKew,,,,,,,,,,,,,,,,,,,
#,20190913 ヤマトアオダモ（芦生モンドリ谷）を新規登録（甲山）,,,,,,,,,,,,,,,,,,,
name_jp,name_jp_std,name_greenlist,match_type,status,name_gbif_accepted,species,genus,family,order,species_jp,family_jp,order_jp,categ,categ2,categ3,categ4,categ5,categ6,categ7,remarks
オオシラビソ,,Abies mariesii Mast.,EXACT,accepted,Abies mariesii Mast.,Abies mariesii,Abies,Pinaceae,Pinales,オオシラビソ,マツ科,マツ目,1,1,1,1,1,1,2,use gbif name
オオシラベ,オオシラビソ,Abies mariesii Mast.,EXACT,accepted,Abies mariesii Mast.,Abies mariesii,Abies,Pinaceae,Pinales,オオシラビソ,マツ科,マツ目,1,1,0,1,1,1,2,not found in GreenList; not found in YList
トドマツ,,Abies sachalinensis (F.Schmidt) Mast. var. sachalinensis,EXACT,accepted,Abies sachalinensis var. sachalinensis,Abies sachalinensis var. sachalinensis,Abies,Pinaceae,Pinales,トドマツ,マツ科,マツ目,1,1,1,1,1,1,2,use gbif name
シラビソ,,Abies veitchii Lindl.,EXACT,accepted,Abies veitchii Lindl.,Abies veitchii,Abies,Pinaceae,Pinales,シラビソ,マツ科,マツ目,1,1,1,1,1,1,2,use gbif name
シラベ,シラビソ,Abies veitchii Lindl.,EXACT,accepted,Abies veitchii Lindl.,Abies veitchii,Abies,Pinaceae,Pinales,シラビソ,マツ科,マツ目,1,1,0,1,1,1,2,use gbif name
カラマツ,,Larix kaempferi (Lamb.) Carrière,EXACT,accepted,Larix kaempferi (Lamb.) Carrière,Larix kaempferi,Larix,Pinaceae,Pinales,カラマツ,マツ科,マツ目,1,1,1,1,1,1,2,use gbif name
アカエゾマツ,,Picea glehnii (F.Schmidt) Mast.,EXACT,accepted,Picea glehnii Mast.,Picea glehnii,Picea,Pinaceae,Pinales,アカエゾマツ,マツ科,マツ目,1,1,1,1,1,1,2,use gbif name
エゾマツ,,Picea jezoensis (Siebold et Zucc.) Carrière,EXACT,accepted,Picea jezoensis Carrière,Picea jezoensis,Picea,Pinaceae,Pinales,エゾマツ,マツ科,マツ目,1,1,1,1,1,1,2,use gbif name
トウヒ,,Picea jezoensis (Siebold et Zucc.) Carrière var. hondoensis (Mayr) Rehder,EXACT,synonym,Picea jezoensis subsp. hondoensis (Mayr) P.A.Schmidt,Picea jezoensis subsp. hondoensis,Picea,Pinaceae,Pinales,トウヒ,マツ科,マツ目,1,1,1,1,1,1,2,use gbif name; checked  in  WCSP
バラモミ,ハリモミ,Picea polita (Siebold et Zucc.) Carrière,EXACT,synonym,Picea torano Koehne,Picea polita,Picea,Pinaceae,Pinales,ハリモミ,マツ科,マツ目,1,1,0,1,1,2,2,not found in GreenList; not found in YList
ハリモミ,,Picea polita (Siebold et Zucc.) Carrière,EXACT,synonym,Picea torano Koehne,Picea polita,Picea,Pinaceae,Pinales,ハリモミ,マツ科,マツ目,1,1,1,1,1,2,2,not found in GreenList; found in YList; use greenlist name; checked  in WCSP
アカマツ,,Pinus densiflora Siebold et Zucc.,EXACT,accepted,Pinus densiflora Siebold & Zucc.,Pinus densiflora,Pinus,Pinaceae,Pinales,アカマツ,マツ科,マツ目,1,1,1,1,1,2,2,use gbif name
チョウセンゴヨウ,,Pinus koraiensis Siebold et Zucc.,EXACT,accepted,Pinus koraiensis Siebold & Zucc.,Pinus koraiensis,Pinus,Pinaceae,Pinales,チョウセンゴヨウ,マツ科,マツ目,1,1,1,1,1,2,2,use gbif name
ゴヨウマツ,ヒメコマツ,Pinus parviflora Siebold et Zucc. var. parviflora,EXACT,accepted,Pinus parviflora var. parviflora,Pinus parviflora var. parviflora,Pinus,Pinaceae,Pinales,ヒメコマツ,マツ科,マツ目,1,1,1,1,1,2,2,use gbif name
ヒメコマツ,,Pinus parviflora Siebold et Zucc. var. parviflora,EXACT,accepted,Pinus parviflora var. parviflora,Pinus parviflora var. parviflora,Pinus,Pinaceae,Pinales,ヒメコマツ,マツ科,マツ目,1,1,0,1,1,2,2,use gbif name
キタゴヨウ,,Pinus parviflora Siebold et Zucc. var. pentaphylla (Mayr) A.Henry,EXACT,accepted,Pinus parviflora var. pentaphylla (Mayr) A.Henry,Pinus parviflora var. pentaphylla,Pinus,Pinaceae,Pinales,キタゴヨウ,マツ科,マツ目,1,1,1,1,1,2,2,use gbif name
